transaction_code,product_code,product_name,quantity,price_per_unit,cost_per_unit,subtotal,date
TRX-KLN-20250801-00001,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-01
TRX-KLN-20250801-00002,MNM02,Teh Pucuk Harum 350ml,3,4000.0,3100.0,12000.0,2025-08-01
TRX-KLN-20250801-00002,MNM03,Kopi Kapal Api Mix Sachet,1,1500.0,1200.0,1500.0,2025-08-01
TRX-KLN-20250801-00002,ROTI02,Susu UHT Ultramilk 250ml,2,7000.0,5500.0,14000.0,2025-08-01
TRX-KLN-20250801-00002,SNK01,Chitato Sapi Panggang 68g,1,8500.0,6800.0,8500.0,2025-08-01
TRX-KLN-20250801-00003,ROTI01,Roti Tawar Kupas Sari Roti,2,16000.0,13000.0,32000.0,2025-08-01
TRX-KLN-20250801-00003,SNK03,Wafer Tango Cokelat 110g,1,7000.0,5200.0,7000.0,2025-08-01
TRX-KLN-20250801-00004,SNK03,Wafer Tango Cokelat 110g,2,7000.0,5200.0,14000.0,2025-08-01
TRX-KLN-20250801-00005,RKK02,Rokok Gudang Garam Filter 12,2,25500.0,23000.0,51000.0,2025-08-01
TRX-KLN-20250801-00005,MNM03,Kopi Kapal Api Mix Sachet,4,1500.0,1200.0,6000.0,2025-08-01
TRX-KLN-20250801-00005,SNK01,Chitato Sapi Panggang 68g,2,8500.0,6800.0,17000.0,2025-08-01
TRX-KLN-20250801-00006,ROTI01,Roti Tawar Kupas Sari Roti,1,16000.0,13000.0,16000.0,2025-08-01
TRX-KLN-20250801-00006,SNK01,Chitato Sapi Panggang 68g,2,8500.0,6800.0,17000.0,2025-08-01
TRX-KLN-20250801-00006,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-01
TRX-KLN-20250801-00007,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-01
TRX-KLN-20250801-00007,RKK02,Rokok Gudang Garam Filter 12,3,25500.0,23000.0,76500.0,2025-08-01
TRX-KLN-20250801-00008,MNM03,Kopi Kapal Api Mix Sachet,2,1500.0,1200.0,3000.0,2025-08-01
TRX-KLN-20250801-00008,MNM04,Le Minerale 600ml,2,4000.0,3000.0,8000.0,2025-08-01
TRX-KLN-20250801-00009,RKK01,Rokok Sampoerna A Mild 16,2,34500.0,31500.0,69000.0,2025-08-01
TRX-KLN-20250801-00009,SNK01,Chitato Sapi Panggang 68g,1,8500.0,6800.0,8500.0,2025-08-01
TRX-KLN-20250801-00009,RKK02,Rokok Gudang Garam Filter 12,2,25500.0,23000.0,51000.0,2025-08-01
TRX-KLN-20250801-00010,MNM04,Le Minerale 600ml,3,4000.0,3000.0,12000.0,2025-08-01
TRX-KLN-20250801-00010,SNK02,Oreo Chocolate Cream 133g,1,9500.0,7500.0,9500.0,2025-08-01
TRX-KLN-20250801-00011,ROTI01,Roti Tawar Kupas Sari Roti,2,16000.0,13000.0,32000.0,2025-08-01
TRX-KLN-20250801-00012,GLA01,Gula Pasir Gulaku 1kg,2,16000.0,14000.0,32000.0,2025-08-01
TRX-KLN-20250801-00012,KRT01,Rinso Anti Noda 770g,2,19000.0,16500.0,38000.0,2025-08-01
TRX-KLN-20250801-00013,BRS01,Beras Premium C4 5kg,1,68000.0,62000.0,68000.0,2025-08-01
TRX-KLN-20250801-00014,TPG01,Tepung Segitiga Biru 1kg,1,12500.0,10500.0,12500.0,2025-08-01
TRX-KLN-20250801-00014,MIE01,Indomie Goreng Spesial 85g,1,3100.0,2600.0,3100.0,2025-08-01
TRX-KLN-20250801-00015,MYK02,Minyak Goreng Kita 1L,2,15000.0,13500.0,30000.0,2025-08-01
TRX-KLN-20250801-00015,BRS01,Beras Premium C4 5kg,2,68000.0,62000.0,136000.0,2025-08-01
TRX-KLN-20250801-00016,MYK02,Minyak Goreng Kita 1L,3,15000.0,13500.0,45000.0,2025-08-01
TRX-KLN-20250801-00016,BMB01,Masako Rasa Ayam 100g,3,5500.0,4500.0,16500.0,2025-08-01
TRX-KLN-20250802-00017,SNK03,Wafer Tango Cokelat 110g,2,7000.0,5200.0,14000.0,2025-08-02
TRX-KLN-20250802-00017,MIE03,Mie Sedaap Goreng,2,3000.0,2500.0,6000.0,2025-08-02
TRX-KLN-20250802-00018,MYK01,Minyak Goreng Bimoli 1L,2,18500.0,16500.0,37000.0,2025-08-02
TRX-KLN-20250802-00019,GAS01,Gas LPG 3kg (Melon),1,21000.0,18500.0,21000.0,2025-08-02
TRX-KLN-20250802-00020,MYK01,Minyak Goreng Bimoli 1L,2,18500.0,16500.0,37000.0,2025-08-02
TRX-KLN-20250802-00021,SNK01,Chitato Sapi Panggang 68g,1,8500.0,6800.0,8500.0,2025-08-02
TRX-KLN-20250802-00022,SNK02,Oreo Chocolate Cream 133g,1,9500.0,7500.0,9500.0,2025-08-02
TRX-KLN-20250802-00022,MNM03,Kopi Kapal Api Mix Sachet,2,1500.0,1200.0,3000.0,2025-08-02
TRX-KLN-20250802-00023,RKK01,Rokok Sampoerna A Mild 16,1,34500.0,31500.0,34500.0,2025-08-02
