batch_code,product_code,product_name,quantity,cost_per_unit,purchase_date,expiry_date,status
BCH-0001,SMB01,Gula Pasir 1kg,24,13500,2026-03-25,,ACTIVE
BCH-0002,SMB01,Gula Pasir 1kg,23,13500,2026-04-01,,ACTIVE
BCH-0003,SMB01,Gula Pasir 1kg,30,13500,2026-04-08,,ACTIVE
BCH-0004,SMB01,Gula Pasir 1kg,25,13500,2026-04-15,,ACTIVE
BCH-0005,SMB01,Gula Pasir 1kg,30,13500,2026-04-22,,ACTIVE
BCH-0006,SMB01,Gula Pasir 1kg,23,13500,2026-04-29,,ACTIVE
BCH-0007,SMB01,Gula Pasir 1kg,30,13500,2026-05-06,,ACTIVE
BCH-0008,SMB01,Gula Pasir 1kg,25,13500,2026-05-13,,ACTIVE
BCH-0009,SMB01,Gula Pasir 1kg,30,13500,2026-05-20,,ACTIVE
BCH-0010,SMB01,Gula Pasir 1kg,23,13500,2026-05-27,,ACTIVE
BCH-0011,SMB01,Gula Pasir 1kg,26,13500,2026-06-03,,ACTIVE
BCH-0012,SMB01,Gula Pasir 1kg,30,13500,2026-06-10,,ACTIVE
BCH-0013,SMB01,Gula Pasir 1kg,24,13500,2026-06-17,,ACTIVE
BCH-0014,SMB01,Gula Pasir 1kg,29,13500,2026-06-24,,ACTIVE
BCH-0015,SMB02,Minyak Goreng 1L,7,13500,2026-03-25,2027-03-25,ACTIVE
BCH-0016,SMB02,Minyak Goreng 1L,12,13500,2026-04-01,2027-04-01,ACTIVE
BCH-0017,SMB02,Minyak Goreng 1L,6,13500,2026-04-08,2027-04-08,ACTIVE
BCH-0018,SMB02,Minyak Goreng 1L,7,13500,2026-04-15,2027-04-15,ACTIVE
BCH-0019,SMB02,Minyak Goreng 1L,13,13500,2026-04-22,2027-04-22,ACTIVE
BCH-0020,SMB02,Minyak Goreng 1L,8,13500,2026-04-29,2027-04-29,ACTIVE
BCH-0021,SMB02,Minyak Goreng 1L,8,13500,2026-05-06,2027-05-06,ACTIVE
BCH-0022,SMB02,Minyak Goreng 1L,9,13500,2026-05-13,2027-05-13,ACTIVE
BCH-0023,SMB02,Minyak Goreng 1L,12,13500,2026-05-20,2027-05-20,ACTIVE
BCH-0024,SMB02,Minyak Goreng 1L,10,13500,2026-05-27,2027-05-27,ACTIVE
BCH-0025,SMB02,Minyak Goreng 1L,13,13500,2026-06-03,2027-06-03,ACTIVE
BCH-0026,SMB02,Minyak Goreng 1L,13,13500,2026-06-10,2027-06-10,ACTIVE
BCH-0027,SMB02,Minyak Goreng 1L,7,13500,2026-06-17,2027-06-17,ACTIVE
BCH-0028,SMB02,Minyak Goreng 1L,9,13500,2026-06-24,2027-06-24,ACTIVE
BCH-0029,SMB03,Tepung Beras,20,3300,2026-03-25,2026-09-21,ACTIVE
BCH-0030,SMB03,Tepung Beras,18,3300,2026-04-01,2026-09-28,ACTIVE
BCH-0031,SMB03,Tepung Beras,16,3300,2026-04-08,2026-10-05,ACTIVE
BCH-0032,SMB03,Tepung Beras,13,3300,2026-04-15,2026-10-12,ACTIVE
BCH-0033,SMB03,Tepung Beras,20,3300,2026-04-22,2026-10-19,ACTIVE
BCH-0034,SMB03,Tepung Beras,19,3300,2026-04-29,2026-10-26,ACTIVE
