transaction_code,product_code,product_name,category,quantity,price,buying_price,discount,subtotal
TRX-250701-00001,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
TRX-250701-00001,MIE01,Indomie Goreng,Mie Instan,1,3000,2500,0,3000
TRX-250701-00002,MIE03,Indomie Soto,Mie Instan,1,3000,2500,0,3000
TRX-250701-00003,MKN03,Gorengan Campur,Makanan,3,1000,500,0,3000
TRX-250701-00003,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
TRX-250701-00003,MNM04,Es Teh Manis,Minuman,2,3000,1000,0,6000
TRX-250701-00003,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
TRX-250701-00004,RKK01,Rokok Sampoerna,Rokok,4,27000,24000,0,108000
TRX-250701-00004,MKN03,Gorengan Campur,Makanan,3,950,500,50,2850
TRX-250701-00005,BMB01,Masako Ayam,Bumbu Dapur,1,5000,4500,0,5000
TRX-250701-00005,MNM04,Es Teh Manis,Minuman,3,3000,1000,0,9000
TRX-250701-00005,MSC01,Kopi Kapal Api Sachet,Minuman Sachet,1,1500,1200,0,1500
TRX-250701-00005,MKN03,Gorengan Campur,Makanan,2,1000,500,0,2000
TRX-250701-00006,MKN01,Nasi Goreng,Makanan,1,12000,7000,0,12000
TRX-250701-00006,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
TRX-250701-00006,MKN03,Gorengan Campur,Makanan,4,1000,500,0,4000
TRX-250701-00007,BMB01,Masako Ayam,Bumbu Dapur,1,5000,4500,0,5000
TRX-250701-00007,MKN01,Nasi Goreng,Makanan,2,12000,7000,0,24000
TRX-250701-00008,MIE03,Indomie Soto,Mie Instan,1,2850,2500,150,2850
TRX-250701-00008,SMB06,Garam Dapur 250g,Sembako,1,3000,2000,0,3000
TRX-250701-00009,MNM04,Es Teh Manis,Minuman,2,3000,1000,0,6000
TRX-250701-00010,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
TRX-250701-00010,BMB01,Masako Ayam,Bumbu Dapur,1,4250,4500,750,4250
TRX-250701-00010,MKN03,Gorengan Campur,Makanan,4,1000,500,0,4000
TRX-250701-00011,MIE01,Indomie Goreng,Mie Instan,1,3000,2500,0,3000
TRX-250701-00011,SNK03,Oreo 133g,Snack,1,9000,7500,0,9000
TRX-250701-00011,MKN03,Gorengan Campur,Makanan,4,1000,500,0,4000
TRX-250701-00012,KRT02,Sunlight 400ml,Kebutuhan RT,2,9000,7500,0,18000
TRX-250701-00013,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
TRX-250701-00013,MKN02,Nasi Ayam Goreng,Makanan,3,15000,8000,0,45000
TRX-250701-00013,MKN03,Gorengan Campur,Makanan,1,1000,500,0,1000
TRX-250701-00014,MKN03,Gorengan Campur,Makanan,4,1000,500,0,4000
TRX-250701-00014,MKN01,Nasi Goreng,Makanan,1,12000,7000,0,12000
TRX-250701-00014,MKN02,Nasi Ayam Goreng,Makanan,1,15000,8000,0,15000
TRX-250701-00014,MNM04,Es Teh Manis,Minuman,3,2550,1000,450,7650
TRX-250701-00015,SMB02,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
TRX-250701-00016,KRT03,Shampoo Pantene Sachet,Perawatan Tubuh,1,1500,1000,0,1500
TRX-250701-00017,MKN01,Nasi Goreng,Makanan,2,12000,7000,0,24000
TRX-250701-00018,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
TRX-250701-00018,MNM04,Es Teh Manis,Minuman,2,3000,1000,0,6000
TRX-250701-00018,MNM03,Sprite 390ml,Minuman,3,5000,4000,0,15000
TRX-250701-00018,MKN03,Gorengan Campur,Makanan,4,1000,500,0,4000
TRX-250701-00018,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
TRX-250701-00019,MKN03,Gorengan Campur,Makanan,2,1000,500,0,2000
TRX-250701-00019,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
TRX-250701-00019,MSC01,Kopi Kapal Api Sachet,Minuman Sachet,2,1500,1200,0,3000
TRX-250701-00019,MIE03,Indomie Soto,Mie Instan,3,3000,2500,0,9000
TRX-250701-00019,MNM04,Es Teh Manis,Minuman,3,3000,1000,0,9000
TRX-250701-00020,SMB04,Telur Ayam 1kg,Sembako,1,29000,26000,0,29000
TRX-250701-00020,MKN02,Nasi Ayam Goreng,Makanan,2,15000,8000,0,30000
TRX-250701-00021,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
TRX-250701-00021,MIE02,Mie Sedap Goreng,Mie Instan,3,3000,2500,0,9000
TRX-250701-00021,SNK02,Better Chocolate,Snack,1,2000,1500,0,2000
TRX-250701-00021,MKN01,Nasi Goreng,Makanan,2,12000,7000,0,24000
TRX-250701-00021,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
TRX-250701-00022,MKN01,Nasi Goreng,Makanan,4,12000,7000,0,48000
TRX-250701-00023,SMB06,Garam Dapur 250g,Sembako,3,3000,2000,0,9000
TRX-250701-00023,MIE01,Indomie Goreng,Mie Instan,1,3000,2500,0,3000
TRX-250701-00023,MIE03,Indomie Soto,Mie Instan,2,3000,2500,0,6000
TRX-250701-00023,MNM01,Aqua Botol 600ml,Minuman,5,4000,3000,0,20000
TRX-250701-00023,KRT02,Sunlight 400ml,Kebutuhan RT,1,9000,7500,0,9000
TRX-250701-00024,BMB01,Masako Ayam,Bumbu Dapur,3,5000,4500,0,15000
TRX-250701-00025,MKN02,Nasi Ayam Goreng,Makanan,2,15000,8000,0,30000
TRX-250701-00025,MIE03,Indomie Soto,Mie Instan,2,3000,2500,0,6000
TRX-250701-00025,MKN01,Nasi Goreng,Makanan,2,12000,7000,0,24000
TRX-250701-00026,PRW01,Pasta Gigi Pepsodent 75g,Perawatan Tubuh,1,7000,5000,0,7000
TRX-250701-00027,BMB01,Masako Ayam,Bumbu Dapur,1,5000,4500,0,5000
TRX-250702-00028,MNM04,Es Teh Manis,Minuman,5,2700,1000,300,13500
TRX-250702-00029,MNM04,Es Teh Manis,Minuman,3,3000,1000,0,9000
TRX-250702-00029,RKK01,Rokok Sampoerna,Rokok,1,27000,24000,0,27000
TRX-250702-00029,BMB01,Masako Ayam,Bumbu Dapur,2,5000,4500,0,10000
TRX-250702-00030,MNM03,Sprite 390ml,Minuman,2,5000,4000,0,10000
TRX-250702-00030,KRT02,Sunlight 400ml,Kebutuhan RT,2,9000,7500,0,18000
TRX-250702-00030,MKN03,Gorengan Campur,Makanan,4,1000,500,0,4000
TRX-250702-00031,MNM04,Es Teh Manis,Minuman,2,3000,1000,0,6000
TRX-250702-00031,MKN03,Gorengan Campur,Makanan,3,1000,500,0,3000
TRX-250702-00031,BMB01,Masako Ayam,Bumbu Dapur,1,5000,4500,0,5000
TRX-250702-00031,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
TRX-250702-00031,MKN01,Nasi Goreng,Makanan,1,12000,7000,0,12000
TRX-250702-00032,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
TRX-250702-00032,MIE01,Indomie Goreng,Mie Instan,3,3000,2500,0,9000
TRX-250702-00032,MNM04,Es Teh Manis,Minuman,3,2550,1000,450,7650
TRX-250702-00032,MKN02,Nasi Ayam Goreng,Makanan,3,15000,8000,0,45000
TRX-250702-00032,MNM02,Teh Pucuk Harum 350ml,Minuman,2,4000,3000,0,8000
TRX-250702-00033,SNK03,Oreo 133g,Snack,1,9000,7500,0,9000
TRX-250702-00033,MKN01,Nasi Goreng,Makanan,3,12000,7000,0,36000
TRX-250702-00033,MIE01,Indomie Goreng,Mie Instan,3,3000,2500,0,9000
TRX-250702-00033,BMB02,Kecap Manis ABC,Bumbu Dapur,2,10000,8000,0,20000
TRX-250702-00033,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
TRX-250702-00034,MNM04,Es Teh Manis,Minuman,2,3000,1000,0,6000
