transaction_code,date,total_amount,payment_method,status
TRX-KLN-20250801-00001,2025-08-01 09:52:06,28000.0,QRIS,COMPLETED
TRX-KLN-20250801-00002,2025-08-01 10:16:22,36000.0,CASH,COMPLETED
TRX-KLN-20250801-00003,2025-08-01 11:09:56,39000.0,QRIS,COMPLETED
TRX-KLN-20250801-00004,2025-08-01 12:29:27,14000.0,TRANSFER,COMPLETED
TRX-KLN-20250801-00005,2025-08-01 13:51:48,74000.0,CASH,COMPLETED
TRX-KLN-20250801-00006,2025-08-01 16:49:08,61000.0,CASH,COMPLETED
TRX-KLN-20250801-00007,2025-08-01 18:07:40,104500.0,CASH,COMPLETED
TRX-KLN-20250801-00008,2025-08-01 15:41:32,11000.0,QRIS,COMPLETED
TRX-KLN-20250801-00009,2025-08-01 07:09:41,128500.0,QRIS,COMPLETED
TRX-KLN-20250801-00010,2025-08-01 14:49:52,21500.0,QRIS,COMPLETED
TRX-KLN-20250801-00011,2025-08-01 11:58:51,32000.0,CASH,COMPLETED
TRX-KLN-20250801-00012,2025-08-01 20:53:46,70000.0,CASH,COMPLETED
TRX-KLN-20250801-00013,2025-08-01 17:26:09,68000.0,CASH,COMPLETED
TRX-KLN-20250801-00014,2025-08-01 15:53:05,15600.0,QRIS,COMPLETED
TRX-KLN-20250801-00015,2025-08-01 20:42:48,166000.0,QRIS,COMPLETED
TRX-KLN-20250801-00016,2025-08-01 20:34:14,61500.0,CASH,COMPLETED
TRX-KLN-20250802-00017,2025-08-02 09:08:50,20000.0,QRIS,COMPLETED
TRX-KLN-20250802-00018,2025-08-02 15:12:24,37000.0,TRANSFER,COMPLETED
TRX-KLN-20250802-00019,2025-08-02 08:22:41,21000.0,CASH,COMPLETED
TRX-KLN-20250802-00020,2025-08-02 12:19:28,37000.0,EWALLET,COMPLETED
TRX-KLN-20250802-00021,2025-08-02 16:51:10,8500.0,CASH,COMPLETED
TRX-KLN-20250802-00022,2025-08-02 14:14:43,12500.0,CASH,COMPLETED
TRX-KLN-20250802-00023,2025-08-02 07:34:59,95500.0,CASH,COMPLETED
