batch_code,product_code,quantity,purchase_date,expiry_date,purchase_cost,status
B-BRS01-0001,BRS01,25,2025-08-07,2026-02-03,1550000.0,ACTIVE
B-BRS02-0002,BRS02,35,2025-08-07,2026-02-03,1890000.0,ACTIVE
B-GLA01-0003,GLA01,47,2025-08-07,,658000.0,ACTIVE
B-MYK01-0004,MYK01,43,2025-08-07,2026-08-07,709500.0,ACTIVE
B-MYK02-0005,MYK02,45,2025-08-07,2026-08-07,607500.0,ACTIVE
B-TLR01-0006,TLR01,32,2025-08-07,2025-08-21,832000.0,ACTIVE
B-TPG01-0007,TPG01,20,2025-08-07,2026-08-07,210000.0,ACTIVE
B-MIE01-0008,MIE01,197,2025-08-07,2026-04-04,512200.0,ACTIVE
B-MIE02-0009,MIE02,97,2025-08-07,2026-04-04,242500.0,ACTIVE
B-MIE03-0010,MIE03,110,2025-08-07,2026-04-04,275000.0,ACTIVE
B-MNM01-0011,MNM01,153,2025-08-07,2026-08-07,459000.0,ACTIVE
B-MNM02-0012,MNM02,60,2025-08-07,2026-02-03,186000.0,ACTIVE
B-MNM03-0013,MNM03,99,2025-08-07,2026-08-07,118800.0,ACTIVE
B-MNM04-0014,MNM04,57,2025-08-07,2026-08-07,171000.0,ACTIVE
B-RKK01-0015,RKK01,78,2025-08-07,,2457000.0,ACTIVE
B-RKK02-0016,RKK02,79,2025-08-07,,1817000.0,ACTIVE
B-SNK01-0017,SNK01,36,2025-08-07,2025-12-05,244800.0,ACTIVE
B-SNK02-0018,SNK02,16,2025-08-07,2026-02-03,120000.0,ACTIVE
B-SNK03-0019,SNK03,23,2025-08-07,2026-02-03,119600.0,ACTIVE
B-BMB01-0020,BMB01,33,2025-08-07,2026-08-07,148500.0,ACTIVE
B-KRT01-0021,KRT01,18,2025-08-07,,297000.0,ACTIVE
B-KRT02-0022,KRT02,30,2025-08-07,,360000.0,ACTIVE
B-ROTI01-0023,ROTI01,27,2025-08-07,2025-08-12,351000.0,ACTIVE
B-ROTI02-0024,ROTI02,48,2025-08-07,2025-09-06,264000.0,ACTIVE
B-GAS01-0025,GAS01,16,2025-08-07,,296000.0,ACTIVE
B-BRS01-0026,BRS01,28,2025-08-14,2026-02-10,1736000.0,ACTIVE
B-BRS02-0027,BRS02,30,2025-08-14,2026-02-10,1620000.0,ACTIVE
B-GLA01-0028,GLA01,49,2025-08-14,,686000.0,ACTIVE
B-MYK01-0029,MYK01,37,2025-08-14,2026-08-14,610500.0,ACTIVE
B-MYK02-0030,MYK02,38,2025-08-14,2026-08-14,513000.0,ACTIVE
B-TLR01-0031,TLR01,35,2025-08-14,2025-08-28,910000.0,ACTIVE
B-TPG01-0032,TPG01,24,2025-08-14,2026-08-14,252000.0,ACTIVE
B-MIE01-0033,MIE01,203,2025-08-14,2026-04-11,527800.0,ACTIVE
B-MIE02-0034,MIE02,93,2025-08-14,2026-04-11,232500.0,ACTIVE
B-MIE03-0035,MIE03,65,2025-08-14,2026-04-11,162500.0,ACTIVE
B-MNM01-0036,MNM01,115,2025-08-14,2026-08-14,345000.0,ACTIVE
B-MNM02-0037,MNM02,74,2025-08-14,2026-02-10,229400.0,ACTIVE
B-MNM03-0038,MNM03,103,2025-08-14,2026-08-14,123600.0,ACTIVE
B-MNM04-0039,MNM04,72,2025-08-14,2026-08-14,216000.0,ACTIVE
B-RKK01-0040,RKK01,101,2025-08-14,,3181500.0,ACTIVE
B-RKK02-0041,RKK02,66,2025-08-14,,1518000.0,ACTIVE
B-SNK01-0042,SNK01,31,2025-08-14,2025-12-12,210800.0,ACTIVE
B-SNK02-0043,SNK02,22,2025-08-14,2026-02-10,165000.0,ACTIVE
B-SNK03-0044,SNK03,28,2025-08-14,2026-02-10,145600.0,ACTIVE
B-BMB01-0045,BMB01,39,2025-08-14,2026-08-14,175500.0,ACTIVE
B-KRT01-0046,KRT01,25,2025-08-14,,412500.0,ACTIVE
B-KRT02-0047,KRT02,30,2025-08-14,,360000.0,ACTIVE
B-ROTI01-0048,ROTI01,16,2025-08-14,2025-08-19,208000.0,ACTIVE
B-ROTI02-0049,ROTI02,37,2025-08-14,2025-09-13,203500.0,ACTIVE
B-GAS01-0050,GAS01,12,2025-08-14,,222000.0,ACTIVE
B-BRS01-0051,BRS01,24,2025-08-21,2026-02-17,1488000.0,ACTIVE
B-BRS02-0052,BRS02,32,2025-08-21,2026-02-17,1728000.0,ACTIVE
B-GLA01-0053,GLA01,54,2025-08-21,,756000.0,ACTIVE
B-MYK01-0054,MYK01,32,2025-08-21,2026-08-21,528000.0,ACTIVE
B-MYK02-0055,MYK02,54,2025-08-21,2026-08-21,729000.0,ACTIVE
B-TLR01-0056,TLR01,24,2025-08-21,2025-09-04,624000.0,ACTIVE
B-TPG01-0057,TPG01,25,2025-08-21,2026-08-21,262500.0,ACTIVE
B-MIE01-0058,MIE01,130,2025-08-21,2026-04-18,338000.0,ACTIVE
B-MIE02-0059,MIE02,121,2025-08-21,2026-04-18,302500.0,ACTIVE
B-MIE03-0060,MIE03,87,2025-08-21,2026-04-18,217500.0,ACTIVE
B-MNM01-0061,MNM01,158,2025-08-21,2026-08-21,474000.0,ACTIVE
B-MNM02-0062,MNM02,93,2025-08-21,2026-02-17,288300.0,ACTIVE
B-MNM03-0063,MNM03,80,2025-08-21,2026-08-21,96000.0,ACTIVE
B-MNM04-0064,MNM04,64,2025-08-21,2026-08-21,192000.0,ACTIVE
B-RKK01-0065,RKK01,107,2025-08-21,,3370500.0,ACTIVE
B-RKK02-0066,RKK02,52,2025-08-21,,1196000.0,ACTIVE
B-SNK01-0067,SNK01,32,2025-08-21,2025-12-19,217600.0,ACTIVE
B-SNK02-0068,SNK02,17,2025-08-21,2026-02-17,127500.0,ACTIVE
B-SNK03-0069,SNK03,31,2025-08-21,2026-02-17,161200.0,ACTIVE
B-BMB01-0070,BMB01,51,2025-08-21,2026-08-21,229500.0,ACTIVE
B-KRT01-0071,KRT01,25,2025-08-21,,412500.0,ACTIVE
B-KRT02-0072,KRT02,24,2025-08-21,,288000.0,ACTIVE
B-ROTI01-0073,ROTI01,26,2025-08-21,2025-08-26,338000.0,ACTIVE
B-ROTI02-0074,ROTI02,29,2025-08-21,2025-09-20,159500.0,ACTIVE
B-GAS01-0075,GAS01,15,2025-08-21,,277500.0,ACTIVE
B-BRS01-0076,BRS01,21,2025-08-28,2026-02-24,1302000.0,ACTIVE
B-BRS02-0077,BRS02,48,2025-08-28,2026-02-24,2592000.0,ACTIVE
B-GLA01-0078,GLA01,54,2025-08-28,,756000.0,ACTIVE
B-MYK01-0079,MYK01,53,2025-08-28,2026-08-28,874500.0,ACTIVE
B-MYK02-0080,MYK02,51,2025-08-28,2026-08-28,688500.0,ACTIVE
B-TLR01-0081,TLR01,30,2025-08-28,2025-09-11,780000.0,ACTIVE
B-TPG01-0082,TPG01,18,2025-08-28,2026-08-28,189000.0,ACTIVE
