transaction_code,date,time,datetime,day_of_week,day_name,month,is_weekend,is_payday,event,event_multiplier,total,payment_method,amount_paid,change,num_items
TRX-250701-00001,2025-07-01,06:17:00,2025-07-01 06:17:00,1,Tuesday,7,0,1,normal,1.0,9000,CASH,10000,1000,2
TRX-250701-00002,2025-07-01,10:38:00,2025-07-01 10:38:00,1,Tuesday,7,0,1,normal,1.0,3000,CASH,5000,2000,1
TRX-250701-00003,2025-07-01,15:51:00,2025-07-01 15:51:00,1,Tuesday,7,0,1,normal,1.0,19000,CASH,20000,1000,4
TRX-250701-00004,2025-07-01,08:59:00,2025-07-01 08:59:00,1,Tuesday,7,0,1,normal,1.0,110850,CASH,115000,4150,2
TRX-250701-00005,2025-07-01,17:05:00,2025-07-01 17:05:00,1,Tuesday,7,0,1,normal,1.0,17500,CASH,20000,2500,4
TRX-250701-00006,2025-07-01,13:17:00,2025-07-01 13:17:00,1,Tuesday,7,0,1,normal,1.0,70000,CASH,75000,5000,3
TRX-250701-00007,2025-07-01,11:41:00,2025-07-01 11:41:00,1,Tuesday,7,0,1,normal,1.0,29000,CASH,30000,1000,2
TRX-250701-00008,2025-07-01,12:37:00,2025-07-01 12:37:00,1,Tuesday,7,0,1,normal,1.0,5850,CASH,10000,4150,2
TRX-250701-00009,2025-07-01,16:38:00,2025-07-01 16:38:00,1,Tuesday,7,0,1,normal,1.0,6000,EWALLET,6000,0,1
TRX-250701-00010,2025-07-01,18:00:00,2025-07-01 18:00:00,1,Tuesday,7,0,1,normal,1.0,14250,QRIS,14250,0,3
TRX-250701-00011,2025-07-01,13:11:00,2025-07-01 13:11:00,1,Tuesday,7,0,1,normal,1.0,16000,CASH,20000,4000,3
TRX-250701-00012,2025-07-01,15:31:00,2025-07-01 15:31:00,1,Tuesday,7,0,1,normal,1.0,18000,QRIS,18000,0,1
TRX-250701-00013,2025-07-01,07:56:00,2025-07-01 07:56:00,1,Tuesday,7,0,1,normal,1.0,52000,EWALLET,52000,0,3
TRX-250701-00014,2025-07-01,15:13:00,2025-07-01 15:13:00,1,Tuesday,7,0,1,normal,1.0,38650,CASH,40000,1350,4
TRX-250701-00015,2025-07-01,15:14:00,2025-07-01 15:14:00,1,Tuesday,7,0,1,normal,1.0,15500,CASH,20000,4500,1
TRX-250701-00016,2025-07-01,13:34:00,2025-07-01 13:34:00,1,Tuesday,7,0,1,normal,1.0,1500,CASH,5000,3500,1
TRX-250701-00017,2025-07-01,18:12:00,2025-07-01 18:12:00,1,Tuesday,7,0,1,normal,1.0,24000,CASH,25000,1000,1
TRX-250701-00018,2025-07-01,07:41:00,2025-07-01 07:41:00,1,Tuesday,7,0,1,normal,1.0,35000,CASH,40000,5000,5
TRX-250701-00019,2025-07-01,18:05:00,2025-07-01 18:05:00,1,Tuesday,7,0,1,normal,1.0,29000,CASH,30000,1000,5
TRX-250701-00020,2025-07-01,09:18:00,2025-07-01 09:18:00,1,Tuesday,7,0,1,normal,1.0,59000,CASH,60000,1000,2
TRX-250701-00021,2025-07-01,14:03:00,2025-07-01 14:03:00,1,Tuesday,7,0,1,normal,1.0,51000,CASH,55000,4000,5
TRX-250701-00022,2025-07-01,10:25:00,2025-07-01 10:25:00,1,Tuesday,7,0,1,normal,1.0,48000,CASH,50000,2000,1
TRX-250701-00023,2025-07-01,06:39:00,2025-07-01 06:39:00,1,Tuesday,7,0,1,normal,1.0,47000,QRIS,47000,0,5
TRX-250701-00024,2025-07-01,11:42:00,2025-07-01 11:42:00,1,Tuesday,7,0,1,normal,1.0,15000,CASH,20000,5000,1
TRX-250701-00025,2025-07-01,09:18:00,2025-07-01 09:18:00,1,Tuesday,7,0,1,normal,1.0,60000,CASH,65000,5000,3
TRX-250701-00026,2025-07-01,06:49:00,2025-07-01 06:49:00,1,Tuesday,7,0,1,normal,1.0,7000,CASH,10000,3000,1
TRX-250701-00027,2025-07-01,14:07:00,2025-07-01 14:07:00,1,Tuesday,7,0,1,normal,1.0,5000,TRANSFER,5000,0,1
TRX-250702-00028,2025-07-02,09:08:00,2025-07-02 09:08:00,2,Wednesday,7,0,1,normal,1.0,13500,TRANSFER,13500,0,1
TRX-250702-00029,2025-07-02,10:15:00,2025-07-02 10:15:00,2,Wednesday,7,0,1,normal,1.0,46000,EWALLET,46000,0,3
TRX-250702-00030,2025-07-02,12:11:00,2025-07-02 12:11:00,2,Wednesday,7,0,1,normal,1.0,32000,QRIS,32000,0,3
TRX-250702-00031,2025-07-02,10:52:00,2025-07-02 10:52:00,2,Wednesday,7,0,1,normal,1.0,42000,CASH,45000,3000,5
TRX-250702-00032,2025-07-02,10:37:00,2025-07-02 10:37:00,2,Wednesday,7,0,1,normal,1.0,77650,CASH,80000,2350,5
TRX-250702-00033,2025-07-02,12:42:00,2025-07-02 12:42:00,2,Wednesday,7,0,1,normal,1.0,76000,CASH,80000,4000,5
