transaction_code,product_code,product_name,category,quantity,price,buying_price,discount,subtotal
STRX-260401-0001,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260401-0001,SMB04,Kecap Manis,Sembako,1,4000,3300,0,4000
STRX-260401-0002,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260401-0003,SNK02,Better Caramel,Snack,2,2000,1600,0,4000
STRX-260401-0003,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260401-0003,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260401-0003,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3500,2750,0,3500
STRX-260401-0004,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,4,2000,1700,0,8000
STRX-260401-0004,KRT01,Rinso Anti Noda Sachet,Kebutuhan RT,2,1425,1200,75,2850
STRX-260401-0005,KRT03,Sabun Cuci Baju,Kebutuhan RT,1,5000,4500,0,5000
STRX-260401-0005,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260401-0005,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260401-0005,KRT01,Rinso Anti Noda Sachet,Kebutuhan RT,1,1500,1200,0,1500
STRX-260401-0006,MSC02,Milo Sachet,Minuman Sachet,1,1000,700,0,1000
STRX-260401-0006,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,1,2000,1700,0,2000
STRX-260401-0006,RKK01,Rokok Sampoerna,Rokok,4,27000,24000,0,108000
STRX-260401-0006,KRT02,Sunlight Cuci Piring,Kebutuhan RT,1,10000,9000,0,10000
STRX-260401-0006,SNK02,Better Caramel,Snack,1,2000,1600,0,2000
STRX-260401-0007,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260401-0008,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260401-0008,MNM03,Fanta 390ml,Minuman,2,5000,4000,0,10000
STRX-260401-0009,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,2,2000,1700,0,4000
STRX-260401-0009,MNM02,Teh Pucuk Harum,Minuman,2,4000,3000,0,8000
